,122524,113309,78845,3347,93712,107321,88109,40640,120333,121352,54690,3350,3190,52757,17226,73320,45337,84355,119476,92879,135310,60249,122806,105628,61375,118047,24349,118605,117567,64670
e_1,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,1.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0
e_2,0.0,1.0,1.0,0.008771929824561403,0.02631578947368421,0.02631578947368421,1.0,0.008771929824561403,0.0,0.008771929824561403,0.008771929824561403,0.02631578947368421,0.03508771929824561,0.03508771929824561,0.0,0.0,0.0,0.008771929824561403,0.02631578947368421,0.008771929824561403,0.0,0.0,0.0,1.0,1.0,0.0,0.03508771929824561,0.017543859649122806,1.0,0.03508771929824561
e_3,0.0,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.0,0.07368421052631578,0.0,0.0,0.010526315789473684,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.021052631578947368,0.0,0.0,0.0,0.010526315789473684,0.021052631578947368,0.0,0.05263157894736842,0.021052631578947368,1.0,1.0
e_4,0.0,1.0,0.042105263157894736,0.010526315789473684,0.042105263157894736,1.0,0.031578947368421054,0.0,0.010526315789473684,0.0,0.0,0.0,0.021052631578947368,1.0,0.0,0.0,0.010526315789473684,1.0,0.031578947368421054,0.021052631578947368,0.0,0.0,0.0,0.021052631578947368,0.010526315789473684,0.010526315789473684,1.0,0.010526315789473684,0.021052631578947368,0.021052631578947368
e_5,0.0,0.031578947368421054,0.031578947368421054,0.010526315789473684,1.0,0.021052631578947368,1.0,0.0,0.0,1.0,0.010526315789473684,0.021052631578947368,0.042105263157894736,0.031578947368421054,0.0,0.0,0.0,0.0,1.0,0.021052631578947368,0.0,0.0,0.0,0.010526315789473684,0.021052631578947368,0.010526315789473684,0.042105263157894736,0.0,0.042105263157894736,1.0
e_6,0.0,0.10526315789473684,0.05263157894736842,0.0,0.05263157894736842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0
e_7,0.0,1.0,1.0,0.0,1.0,1.0,0.03508771929824561,0.0,0.008771929824561403,0.017543859649122806,0.0,0.0,0.0,1.0,0.0,0.0,0.008771929824561403,0.02631578947368421,1.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.017543859649122806,0.02631578947368421,0.008771929824561403,0.017543859649122806,0.017543859649122806
e_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_10,0.0,0.031578947368421054,0.021052631578947368,0.031578947368421054,0.021052631578947368,0.010526315789473684,1.0,0.0,0.0,0.021052631578947368,0.031578947368421054,0.042105263157894736,1.0,0.010526315789473684,0.0,0.0,0.0,0.010526315789473684,0.021052631578947368,0.05263157894736842,0.0,0.0,0.0,0.021052631578947368,0.031578947368421054,0.0,1.0,0.0,1.0,1.0
e_11,0.0,0.03508771929824561,0.017543859649122806,0.0,0.03508771929824561,0.03508771929824561,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,0.0
e_12,0.0,0.017543859649122806,0.03508771929824561,0.0,0.0,0.0,0.03508771929824561,1.0,0.0,0.0,0.017543859649122806,0.03508771929824561,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,1.0,0.0,0.0,1.0,0.017543859649122806,0.0
e_13,0.0,0.05263157894736842,0.03508771929824561,0.0,0.03508771929824561,0.03508771929824561,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,0.017543859649122806,0.017543859649122806,0.0,1.0,0.0,0.0,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.0,1.0,0.03508771929824561,0.017543859649122806,0.017543859649122806,1.0,0.017543859649122806,0.0
e_14,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.017543859649122806,0.0,0.0,1.0,1.0,0.03508771929824561,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.03508771929824561,0.0,0.0,1.0,0.03508771929824561,0.03508771929824561
e_15,0.0,0.017543859649122806,0.0,0.03508771929824561,0.017543859649122806,0.017543859649122806,0.08771929824561403,0.0,0.0,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.08771929824561403,0.017543859649122806,0.0,0.0,0.0,0.017543859649122806,0.017543859649122806,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05263157894736842,1.0
e_16,0.0,0.05263157894736842,0.03508771929824561,0.0,1.0,0.05263157894736842,0.017543859649122806,0.0,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,1.0,0.0,0.0,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,1.0,0.017543859649122806,0.017543859649122806,0.0,0.017543859649122806
e_17,0.0,0.03508771929824561,0.05263157894736842,0.017543859649122806,0.017543859649122806,0.0,1.0,0.017543859649122806,0.0,0.017543859649122806,0.03508771929824561,1.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.03508771929824561,1.0,0.0,0.03508771929824561,0.03508771929824561,0.07017543859649122,0.05263157894736842
e_18,0.0,0.07894736842105263,1.0,0.0,0.02631578947368421,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.05263157894736842,1.0,0.0,0.0,0.02631578947368421,0.05263157894736842,0.0
