,105628,61375,3350,24349,52757,118605,117567,88109,64670,120333
e_1,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0
e_2,1.0,1.0,0.027777777777777776,0.05555555555555555,0.0,0.0,1.0,1.0,0.1111111111111111,0.0
e_3,0.037037037037037035,0.037037037037037035,1.0,0.07407407407407407,0.0,0.0,1.0,0.14814814814814814,1.0,0.0
e_4,0.0,0.0,0.0,1.0,1.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0
e_5,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0,0.0,0.2222222222222222,1.0,1.0,0.0
e_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_7,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0
e_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_10,0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,0.027777777777777776,0.0,1.0,1.0,1.0,0.0
