,113309,3347,93712,107321,88109,40640,120333,3350,3190,52757,73320,119476,92879,105628,61375,118047,24349,118605,117567,64670
e_1,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.1111111111111111,0.0
e_2,1.0,0.0,0.044444444444444446,0.044444444444444446,1.0,0.0,0.0,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.0,0.044444444444444446,0.0,1.0,1.0,0.0,0.06666666666666667,0.0,1.0,0.08888888888888889
e_3,0.027777777777777776,0.0,0.027777777777777776,0.0,0.1388888888888889,0.0,0.0,1.0,1.0,0.0,0.0,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.0,0.08333333333333333,0.0,1.0,1.0
e_4,1.0,0.0,0.08333333333333333,1.0,0.05555555555555555,0.0,0.0,0.0,0.027777777777777776,1.0,0.0,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.0,1.0,0.0,0.05555555555555555,0.027777777777777776
e_5,0.08333333333333333,0.0,1.0,0.05555555555555555,1.0,0.0,0.0,0.027777777777777776,0.08333333333333333,0.05555555555555555,0.0,1.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.05555555555555555,0.0,0.1111111111111111,1.0
e_6,0.2222222222222222,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
e_7,1.0,0.0,1.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.022222222222222223,0.022222222222222223,0.0,0.06666666666666667,0.0,0.022222222222222223,0.044444444444444446
e_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_10,0.06666666666666667,0.0,0.044444444444444446,0.022222222222222223,1.0,0.0,0.0,0.06666666666666667,1.0,0.022222222222222223,0.0,0.044444444444444446,0.0,0.044444444444444446,0.044444444444444446,0.0,1.0,0.0,1.0,1.0
