FirmaID,52757,88109,64670,3350,120333,105628,118605,117567,61375,24349,73320,107321,113309,3347,92879,93712,40640,119476,118047,3190,17226,54690,78845,60249,122524,122806,84355,135310,121352,45337,11734,116600,132426,103081,99522,15050,13972,108855,9608,122572,135218,104356,124010,136020,118725,122526,117016,89666,120843,120336
6567,0,0,0,0,0,0,0,0,107800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5871,0,296400,0,0,0,344260,0,4260,1600,0,0,0,2170,0,0,0,0,0,0,0,0,0,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4250
4775,0,0,122150,13600,0,0,0,12500,0,0,0,0,0,0,0,0,0,0,0,26650800,0,1164700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8179,139000,0,0,0,0,0,0,0,0,644400,0,4000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,42200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0
974,0,1100,9000,0,0,0,0,0,0,0,0,0,0,0,0,3645,0,5814,0,0,0,0,0,0,0,0,0,0,5120,0,0,0,0,2250,0,0,0,0,0,0,1053,0,0,0,0,0,0,0,0,1500
713,0,0,0,0,0,0,0,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3797,655500,0,0,0,0,0,0,0,0,0,0,1000,2400,0,0,684500,0,500,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74200,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
5815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27600,0,0,0,0
