FirmaID,52757,88109,64670,3350,120333,105628,118605,117567,61375,24349,73320,107321,113309,3347,92879,93712,40640,119476,118047,3190
6567,0,0,0,0,0,0,0,0,107800,0,0,0,0,0,0,0,0,0,0,0
5871,0,296400,0,0,0,344260,0,4260,1600,0,0,0,2170,0,0,0,0,0,0,0
4775,0,0,122150,13600,0,0,0,12500,0,0,0,0,0,0,0,0,0,0,0,26650800
8179,139000,0,0,0,0,0,0,0,0,644400,0,4000,1000,0,0,0,0,0,0,0
974,0,1100,9000,0,0,0,0,0,0,0,0,0,0,0,0,3645,0,5814,0,0
713,0,0,0,0,0,0,0,0,0,0,0,1375,0,0,0,0,0,0,0,0
3797,655500,0,0,0,0,0,0,0,0,0,0,1000,2400,0,0,684500,0,500,0,0
5096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,259270,500,0,0,0,0,1200,0,19600,0,0,0,0,0,0,0,0,0,331835
