FirmaID,UrunTID,Miktar,AlimSayisi
9975,97560,1500,1
5815,97564,800,1
5684,97866,1000,1
9782,98051,2000,2
3797,98084,1750,2
5871,98084,3470,3
872,98292,1350,1
3797,98505,1000,1
5751,98534,800,1
7989,98534,8170,7
897,98581,11700,2
4586,98582,4630,1
8759,98607,2000,1
715,98978,3300,1
5871,99042,6950,2
2842,99113,3750,3
734,99206,500,1
734,99207,500,1
4775,99516,6150,2
2842,99522,4400,4
3797,99522,1250,2
6324,99522,6100,2
9151,99522,1000,1
4775,99625,27000,6
4775,99628,18000,5
7749,99706,56580,4
715,99811,1850,1
9163,99899,500,1
3331,100565,1100,1
974,100581,1928,1
3797,100581,1900,3
974,100628,1800,1
9975,100796,1800,3
8725,100925,1000,1
715,101095,4390,3
1677,101250,8400,3
3797,101250,500,1
2027,101380,29560,29
2537,101416,4800,2
4775,101533,4200,1
7091,101638,2000,1
67,101653,2350,1
5798,101653,3600,1
9163,101653,700,1
897,101668,2400,1
3289,101668,800,1
872,101782,1000,1
6684,101797,4950,2
713,101899,1375,1
3008,101911,1350,1
2027,101948,5420,4
5751,101950,1000,2
8759,102236,2500,1
794,102242,1700,2
8759,102300,2500,1
8759,102301,1600,1
2027,102307,2263,2
3155,102545,855,1
5871,102635,12530,8
5012,102709,1370,2
2,103081,5000,1
974,103081,2250,1
2905,103081,5000,1
9142,103081,500,1
5096,103547,1000,1
5336,103625,80800,22
4586,103982,13615,2
5333,104356,2900,1
8179,104356,1800,1
9151,104356,1000,1
8194,104706,1000,1
6209,104719,1300,2
8725,104719,2500,1
7711,104807,1600,3
8179,104828,1000,1
3331,104833,1000,1
8179,104834,1000,1
7711,104843,3900,5
9366,104843,500,1
9366,104845,500,1
5871,104905,3000,2
10114,105046,1000,1
731,105061,4400,1
4586,105187,770,1
3797,105291,3120,3
5871,105311,3100,1
8796,105311,900,1
25,105628,2950,2
39,105628,6000,4
3289,105628,4250,2
5684,105628,2600,2
5871,105628,24590,14
7749,105628,2680,3
7963,105628,5000,1
9975,105628,1500,3
1677,105938,4000,2
8811,106087,2100,2
4586,106201,890,1
8666,106311,1600,2
6567,106332,600,1
6567,106334,500,1
6567,106335,1300,2
5556,106339,600,1
6798,106461,4000,2
8179,106461,1000,1
6234,106500,1000,2
2842,106573,800,1
2842,106580,800,1
7228,106608,4430,2
3930,106665,17588,8
5012,106674,520,1
1677,106790,1800,1
1677,106794,1800,1
974,106798,3800,1
8759,106817,1000,1
1677,106818,2000,1
3797,106873,600,1
5871,106895,1100,1
713,107321,1375,1
3797,107321,1000,1
5684,107321,3600,3
6234,107321,1000,2
8179,107321,2000,2
8759,107321,700,1
3331,107381,790,1
9319,107384,1000,1
8816,107385,2600,1
9319,107396,1000,1
7452,107398,3000,3
7452,107400,3000,3
5096,107436,700,1
6567,107462,1000,2
6567,107464,2700,4
6567,107465,1500,3
8179,107579,2300,2
5751,107581,1070,1
4775,107784,1400,1
6372,107784,800,1
2905,107811,2200,1
964,107974,2000,1
7989,108029,2540,1
6234,108104,1000,2
897,108181,13600,1
67,108237,2525,2
5751,108668,500,1
713,108678,9700,1
3797,108678,500,1
3797,108680,1100,2
2537,108855,900,1
6885,108855,2780,1
7311,108855,600,1
9186,108855,8700,1
8179,108856,2300,1
9151,108856,1000,1
872,108882,1000,2
9151,108931,1000,1
6372,108959,800,1
8194,108986,1300,1
713,108998,600,1
6567,109815,3000,1
4775,110138,5500,2
5815,110348,5000,9
3331,110402,600,1
8666,111059,1450,1
9366,111059,2000,2
6234,111123,1000,2
5333,111370,4215,2
5871,111407,1000,1
7963,111407,2050,1
872,111580,6200,1
3797,111651,2400,3
8666,111794,9750,6
3331,111813,650,1
7989,111816,3125,1
3331,111858,1200,1
9319,111868,1000,1
9319,111872,500,1
3331,111873,750,1
974,111906,850,1
3331,111908,750,1
8796,111908,1070,1
5311,111948,1100,1
713,112016,1650,1
974,112016,3598,1
8179,112077,2700,2
5684,112085,1000,1
713,112117,2550,2
6324,112117,4450,2
5751,112119,500,1
872,112123,22250,2
731,112301,825,1
7963,112630,6900,4
964,112646,1930,1
9206,112659,700,1
5556,112662,500,1
6885,112702,4195,1
3008,112710,1170,1
4586,112710,540,1
5871,112794,1020,1
5096,112902,800,1
9975,112918,500,1
9975,112932,500,1
6567,112940,600,1
6567,112941,500,1
4433,113000,800,1
9975,113125,3000,2
3008,113171,2300,1
9186,113171,5535,3
6885,113181,3225,1
8194,113181,70170,6
5096,113206,1000,1
5096,113294,1000,1
2905,113309,20000,2
3797,113309,1200,2
5684,113309,4000,3
5871,113309,2170,1
6209,113309,2000,2
8179,113309,1000,1
9151,113313,1000,1
8796,113369,1070,1
7091,113371,2000,1
5815,113383,1500,2
10114,113596,1000,1
974,113602,2668,1
7091,113617,1000,1
7091,113618,1000,1
7091,113619,1000,1
7091,113620,1000,1
7091,113621,1000,1
7091,113623,2000,1
7091,113624,2000,1
7091,113625,2000,1
7091,113626,2000,1
7091,113627,2000,1
2905,113653,5000,1
2007,113680,2884,1
3331,113681,750,1
872,113840,3215,3
2537,113840,8200,3
8179,113938,500,1
8179,113986,500,1
8725,113988,4500,2
67,114225,2300,1
3797,114300,700,1
5815,114397,1500,2
713,114630,1175,1
8816,114634,900,1
8759,114719,2000,1
5684,114751,2000,2
7094,114935,650,1
872,115039,6051,4
1677,115044,3300,1
3797,115405,700,1
7963,115405,1100,1
3797,115407,700,1
2842,115409,700,1
5333,115413,2600,1
2842,115415,550,1
10114,115417,1000,1
10114,115420,1000,1
9319,115468,1000,1
5096,115479,1000,1
974,115501,1291,1
6234,115501,500,1
9186,115609,3625,2
897,115672,19660,4
5684,115672,600,1
9782,115672,600,1
8759,115729,3500,1
2842,116030,1300,1
4586,116061,5460,1
2842,116108,500,1
8666,116179,2200,1
6209,116212,1000,1
6209,116214,1000,1
964,116309,13530,8
6691,116546,600,1
2842,116583,5400,6
872,116584,2080,2
885,116600,3900,1
7989,116600,2250,1
8759,116600,3000,1
9319,116600,1000,1
6691,116614,600,1
6691,116618,600,1
6691,116619,600,1
7094,116675,750,1
734,116683,5300,4
734,116686,7050,5
6691,116736,600,1
872,117016,1300,1
3331,117016,950,1
6684,117016,23984,5
731,117175,4750,1
731,117473,3850,2
8179,117473,1200,1
6577,117482,500,1
8179,117482,1200,1
4433,117498,750,1
6567,117553,2700,4
964,117567,1200,1
2027,117567,1200,1
3331,117567,1900,2
4775,117567,6250,2
5871,117567,4260,1
8666,117567,1000,1
8796,117567,750,1
713,117765,8605,8
8179,117783,1500,1
6324,118031,6850,4
5096,118035,650,1
5556,118040,1600,3
794,118041,700,1
5556,118041,1000,2
5556,118042,1000,2
2842,118047,1000,1
5556,118047,2100,4
6432,118047,24250,4
7091,118047,32000,7
9572,118047,1000,2
6567,118090,800,1
2537,118324,2100,1
4433,118376,750,1
6209,118394,600,1
9366,118461,1000,1
3331,118497,550,1
8847,118498,3300,1
8397,118536,700,1
713,118537,3000,1
8397,118537,500,1
3008,118545,8600,1
9151,118552,1000,1
872,118605,5950,3
964,118605,17151,2
3008,118605,1900,1
6432,118605,29100,3
7452,118605,2500,3
9151,118605,2000,1
9975,118605,600,1
713,118620,3000,1
4433,118725,1200,1
5556,118725,2800,4
9782,118725,800,1
9572,118782,1000,2
9572,118783,1000,2
