,3,8,4,2,5,10,1,7,9,6
e_1,1.0,1.0,0.1111111111111111,1.0,0.0,0.4444444444444444,0.0,0.0,1.0,1.0
e_2,1.0,1.0,0.1111111111111111,1.0,0.0,1.0,0.037037037037037035,0.0,1.0,1.0
e_3,1.0,1.0,1.0,1.0,0.0,1.0,0.031746031746031744,0.0,1.0,1.0
e_4,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.2222222222222222,0.0,1.0,1.0,0.0,0.2222222222222222,0.2222222222222222
e_5,1.0,1.0,0.1111111111111111,1.0,0.0,1.0,0.037037037037037035,0.0,1.0,1.0
e_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_7,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.2222222222222222,0.0,1.0,1.0,0.0,0.2222222222222222,0.2222222222222222
e_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_10,1.0,1.0,0.1111111111111111,1.0,0.0,1.0,0.037037037037037035,0.0,1.0,1.0
